Time,mercury,venus,mars,jupiter,saturn,uranus,neptune,ceres,chiron
A.D. 2019-Feb-08 12:20:00.0000 UTC,329.09033615399255,275.3410986103301,23.696093533301863,257.83558916305225,286.76976176833927,26.948440742807573,346.4912267533063,243.27527220271176,356.9416666666666
A.D. 2019-Feb-09 12:20:00.0000 UTC,330.8089726777502,276.5769575180986,24.332151985246657,258.00675050677006,286.88189081560034,26.974804473953203,346.52373714105914,243.57351772707656,356.9875
A.D. 2019-Feb-10 12:20:00.0000 UTC,332.51710631051867,277.8151811319827,24.969195319785722,258.1759302386706,286.99321267824183,27.001893751974208,346.55645195948523,243.86861474594298,356.7791666666667
A.D. 2019-Feb-11 12:20:00.0000 UTC,334.21264381892087,279.05553929967374,25.607226135763835,258.34309735528166,287.10370785892314,27.02970100286387,346.5893628917431,244.1605063757046,356.82500000000005
A.D. 2019-Feb-12 12:20:00.0000 UTC,335.8931329812349,280.29780448545364,26.246246307380616,258.5082215034333,287.2133573060819,27.058218429455263,346.6224616345366,244.44913625761,356.87083333333334
A.D. 2019-Feb-13 12:20:00.0000 UTC,337.5557110281644,281.5417524623858,26.88625717080619,258.6712730188771,287.3221424592025,27.087438039769424,346.655739922754,244.73444858252606,356.92083333333335
A.D. 2019-Feb-14 12:20:00.0000 UTC,339.1970518602634,282.78716304193375,27.5272598212419,258.83222294747077,287.43004529498677,27.117351686113008,346.6891895602559,245.016388066234,356.9666666666667
A.D. 2019-Feb-15 12:20:00.0000 UTC,340.81331435424767,284.03382072455526,28.169255586138423,258.991043019354,287.5370483620651,27.14795112056015,346.7228024573342,245.29489981316252,356.76250000000005
A.D. 2019-Feb-16 12:20:00.0000 UTC,342.4000948612661,285.2815150701633,28.812246721302884,259.14770553403065,287.6431347817715,27.179228070480566,346.7565706720995,245.5699289915336,356.8125
A.D. 2019-Feb-17 12:20:00.0000 UTC,343.9523877876621,286.5300405305964,29.456237309688888,259.3021831136241,287.74828818500333,27.211174331356474,346.79048644786735,245.84142025222442,356.85833333333335
A.D. 2019-Feb-18 12:20:00.0000 UTC,345.46455884416906,287.77919553291594,30.10123422256908,259.45444830715047,287.85249255906734,27.243781862970902,346.824542233207,246.10931688828146,356.90833333333336
A.D. 2019-Feb-19 12:20:00.0000 UTC,346.9303360725398,289.02878082170713,30.747247870884966,259.60447308705585,287.95573200230893,27.27704286319641,346.85873066980525,246.3735598511657,356.9583333333333
A.D. 2019-Feb-20 12:20:00.0000 UTC,348.342824030012,290.2785974269626,31.394292428245475,259.7522283506717,288.05799042566235,27.3109497901072,346.89304454017923,246.63408686984158,356.75416666666666
A.D. 2019-Feb-21 12:20:00.0000 UTC,349.69454639325176,291.5284449206835,32.04238533637598,259.89768357498707,288.1592512769951,27.34549531595776,346.9274766822846,246.89083195059695,356.8041666666666
A.D. 2019-Feb-22 12:20:00.0000 UTC,350.97752150352954,292.7781206074646,32.69154617926207,260.04080673200195,288.25949736645185,27.380672222419175,346.9620198929991,247.14372542242953,356.8541666666667
A.D. 2019-Feb-23 12:20:00.0000 UTC,352.18337381838927,294.0274199166631,33.34179526285357,260.1815644693969,288.35871083104047,27.416473269286158,346.9966668466464,247.39269447460822,356.9041666666667
A.D. 2019-Feb-24 12:20:00.0000 UTC,353.3034819423363,295.2761377782825,33.99315229715873,260.3199224652033,288.4568732209884,27.45289107367533,347.0314100454811,247.63766396752627,356.9583333333333
A.D. 2019-Feb-25 12:20:00.0000 UTC,354.3291613207966,296.5240704824768,34.64563544161559,260.4558458320807,288.55396565489974,27.489918023595752,347.0662418041086,247.8785572628035,356.7583333333334
A.D. 2019-Feb-26 12:20:00.0000 UTC,355.25187740107384,297.771017539262,35.29926077331193,260.5892994762239,288.649968988787,27.52754623100607,347.101154258911,248.11529690680186,356.80833333333334
A.D. 2019-Feb-27 12:20:00.0000 UTC,356.06348356588416,299.016783246921,35.95404209452538,260.72024836918587,288.74486396353024,27.565767516385037,347.1361393904112,248.34780511216988,356.85833333333335
A.D. 2019-Feb-28 12:20:00.0000 UTC,356.75647759915904,300.2611778804905,36.60999094667101,260.84865773385803,288.8386313178824,27.60457341249388,347.1711890489175,248.57600406475137,356.91249999999997
A.D. 2019-Mar-01 12:20:00.0000 UTC,357.3242706736233,301.5040185413841,37.26711671326178,260.97449316717615,288.93125186950243,27.64395517661571,347.20629497798103,248.7998161124548,356.96250000000003
A.D. 2019-Mar-02 12:20:00.0000 UTC,357.7614633748487,302.74512976130615,37.92542673437166,261.0977207262555,289.02270657331667,27.68390380434911,347.2414488337804,249.01916389518837,356.76666666666665
A.D. 2019-Mar-03 12:20:00.0000 UTC,358.06412342953223,303.9843439563057,38.58492639393355,261.2183069998716,289.1129765674968,27.72441004167492,347.2766422007919,249.23397045913035,356.81666666666666
A.D. 2019-Mar-04 12:20:00.0000 UTC,358.23005892184983,305.2215018070436,39.24561916990704,261.3362191794915,289.2020432154003,27.765464394678613,347.3118666051808,249.44415937901854,356.87083333333334
A.D. 2019-Mar-05 12:20:00.0000 UTC,358.25907842617954,306.45645261532974,39.90750665520782,261.45142513647244,289.28988814883,27.80705713792324,347.34711352760615,249.6496549002576,356.925
A.D. 2019-Mar-06 12:20:00.0000 UTC,358.1532256577291,307.68905466205143,40.570588566320644,261.5638935058174,289.37649331490974,27.84917832321597,347.3823744169055,249.8503820955738,356.9791666666667
A.D. 2019-Mar-07 12:20:00.0000 UTC,357.91697150743965,308.91917557116165,41.23486275858493,261.6735937725447,289.461841026273,27.89181779057485,347.41764070560754,250.04626702697524,356.7791666666667
A.D. 2019-Mar-08 12:20:00.0000 UTC,357.557341817588,310.1466926705962,41.90032526392338,261.7804963546311,289.5459140125161,27.934965182772114,347.4529038276168,250.23723689915292,356.8333333333333
A.D. 2019-Mar-09 12:20:00.0000 UTC,357.0839565324713,311.3714933353263,42.56697036046782,261.88457267657276,289.62869547019153,27.978609964150134,347.4881552378922,250.42322019224574,356.8875
A.D. 2019-Mar-10 12:20:00.0000 UTC,356.5089566028984,312.5934753004929,43.234790676963335,261.98579522930896,289.71016910900244,28.02274144378167,347.5233864336817,250.6041467649743,356.9416666666666
A.D. 2019-Mar-11 12:20:00.0000 UTC,355.8468005570587,313.81254694135026,43.90377733138545,262.08413761430256,289.7903191928546,28.067348802786444,347.55858897693406,250.7799479249802,356.99583333333334
A.D. 2019-Mar-12 12:20:00.0000 UTC,355.11392339701405,315.02862752667465,44.57392010553726,262.17957457027416,289.8691305752368,28.112421125913567,347.59375451785735,250.9505564613065,356.79999999999995
A.D. 2019-Mar-13 12:20:00.0000 UTC,354.3282655228147,316.241647456517,45.24520766631391,262.2720819789097,289.94658872805746,28.157947438308597,347.62887481997427,251.11590663095305,356.8541666666667
A.D. 2019-Mar-14 12:20:00.0000 UTC,353.5086963600895,317.4515484861628,45.91762785786971,262.36163683993937,290.0226797606837,28.20391674935756,347.66394178708333,251.2759340744186,356.90833333333336
A.D. 2019-Mar-15 12:20:00.0000 UTC,352.674372857301,318.6582839098592,46.591168101200424,262.44821719712564,290.0973904211789,28.250318105923068,347.69894749179394,251.43057562234824,356.96250000000003
