Time,mercury,venus,mars,jupiter,saturn,uranus,neptune,ceres,chiron
A.D. 2020-Feb-11 00:00:00.0000 UTC,340.84712618644687,3.268930251275665,265.59777165564907,286.8451220003837,297.89404360555193,30.747611564943153,348.57091955963045,307.5341748665657,0.2791666666666666
A.D. 2020-Feb-12 00:00:00.0000 UTC,341.5720725024599,4.314663226421968,266.345069275258,287.06865613847896,298.01054517234974,30.77296156577952,348.6033062946165,307.95425982167075,0.2791666666666666
A.D. 2020-Feb-13 00:00:00.0000 UTC,342.1633988235756,5.358418524222164,267.09309180780804,287.29100539320876,298.1264382456006,30.799052973470335,348.63589887218086,308.37340095284804,0.2791666666666666
A.D. 2020-Feb-14 00:00:00.0000 UTC,342.6125995233087,6.400328570599132,267.841796574615,287.5121438772074,298.24170442055805,30.82588045761547,348.6686902584331,308.7915844172067,0.2791666666666666
A.D. 2020-Feb-15 00:00:00.0000 UTC,342.9126206086966,7.440521174489788,268.5911371691969,287.732044400857,298.3563246531406,30.85343854978943,348.70167324350024,309.2087946330256,0.2791666666666666
A.D. 2020-Feb-16 00:00:00.0000 UTC,343.0583501829958,8.479118199114746,269.34106430883,287.95067867333995,298.4702793414178,30.88172154493793,348.7348404114459,309.6250144094307,0.2791666666666666
A.D. 2020-Feb-17 00:00:00.0000 UTC,343.0471169651135,9.516234764771365,270.0915267416627,288.16801756584397,298.58354845299704,30.91072343247689,348.76818413517367,310.0402252201282,0.2791666666666666
A.D. 2020-Feb-18 00:00:00.0000 UTC,342.87916765820677,10.551978860095423,270.84247205760414,288.38403137588847,298.69611166354974,30.940437857087627,348.8016965884396,310.4544075281694,0.2791666666666666
A.D. 2020-Feb-19 00:00:00.0000 UTC,342.5580854691255,11.586451196177633,271.5938473465747,288.5986900604843,298.8079484856726,30.970858102606172,348.83536976699907,310.86754109913323,0.2791666666666666
A.D. 2020-Feb-20 00:00:00.0000 UTC,342.09110420834776,12.619745169956424,272.34559971226497,288.811963429859,298.91903838050524,31.00197709126878,348.86919551334904,311.27960527822046,0.2791666666666666
A.D. 2020-Feb-21 00:00:00.0000 UTC,341.4892677398515,13.651946859454059,273.09767667508123,289.0238213062429,299.0293608524423,31.033787392432387,348.9031655422259,311.69057922648733,0.2791666666666666
A.D. 2020-Feb-22 00:00:00.0000 UTC,340.7673864983054,14.683135021093458,273.8500264963899,289.2342336552885,299.1388955299522,31.066281237396666,348.9372714658684,312.1004421249549,0.2791666666666666
A.D. 2020-Feb-23 00:00:00.0000 UTC,339.9437544937214,15.713381085947269,274.60259844316096,289.4431706954747,299.24762223495486,31.099450538791345,348.9715048188404,312.50917335117236,0.2791666666666666
A.D. 2020-Feb-24 00:00:00.0000 UTC,339.03961303754977,16.74274915833808,275.3553429993488,289.65060298736176,299.3555210415806,31.133286913777283,349.0058570822357,312.9167526323398,0.2791666666666666
A.D. 2020-Feb-25 00:00:00.0000 UTC,338.07837946604394,17.771296014061303,276.108212023876,289.85650150235995,299.4625723239097,31.167781710252672,349.0403197067903,313.32316017223803,0.2791666666666666
A.D. 2020-Feb-26 00:00:00.0000 UTC,337.0846947613991,18.799071085162055,276.86115885642096,290.0608376707888,299.5687567922328,31.202926034802427,349.07488413419514,313.7283767517715,0.2791666666666666
A.D. 2020-Feb-27 00:00:00.0000 UTC,336.08337484228923,19.826116411310775,277.6141383791435,290.2635834111115,299.6740555184216,31.238710780764517,349.1095418159586,314.13238380107543,0.2791666666666666
A.D. 2020-Feb-28 00:00:00.0000 UTC,335.09836800784313,20.85246653891539,278.367107051028,290.46471114518,299.77844995264917,31.275126654842683,349.14428422955933,314.53516344927937,0.2791666666666666
A.D. 2020-Feb-29 00:00:00.0000 UTC,334.15182027596524,21.878148359256205,279.1200229377438,290.664193806809,299.8819219352318,31.31216420127851,349.17910289225256,314.9366985598744,0.2791666666666666
A.D. 2020-Mar-01 00:00:00.0000 UTC,333.2633311563042,22.903180894756645,279.87284576106487,290.86200485195724,299.98445370818393,31.34981382362764,349.213989373575,315.33697276487965,0.2791666666666666
A.D. 2020-Mar-02 00:00:00.0000 UTC,332.44945005914167,23.927575065845463,280.6255369864664,291.0581182776066,300.08602793079257,31.388065805494254,349.2489353081632,315.7359705115214,0.2791666666666666
A.D. 2020-Mar-03 00:00:00.0000 UTC,331.7234265587084,24.95133349775162,281.3780599544313,291.2525086526662,300.18662770184596,31.42691033297783,349.2839324108106,316.13367713236727,0.2791666666666666
A.D. 2020-Mar-04 00:00:00.0000 UTC,331.095194610045,25.97445045423335,282.1303800386658,291.44515115734674,300.2862365877534,31.46633752285012,349.31897249555755,316.5300789442986,0.2791666666666666
A.D. 2020-Mar-05 00:00:00.0000 UTC,330.5715474403776,26.996912006604674,282.88246478117395,291.6360216168901,300.38483865027075,31.506337461192114,349.3540474997414,316.9251633669864,0.2791666666666666
A.D. 2020-Mar-06 00:00:00.0000 UTC,330.15644832904803,28.018696544846946,283.63428391145015,291.8250965016111,300.4824184598577,31.546900256558544,349.3891495119424,317.3189190314137,0.2791666666666666
A.D. 2020-Mar-07 00:00:00.0000 UTC,329.85142169280556,29.03977568463961,284.38580911605425,292.01235285118963,300.5789610722922,31.588016108447857,349.4242707993347,317.7113358215027,0.2791666666666666
A.D. 2020-Mar-08 00:00:00.0000 UTC,329.6559757314762,30.06011548848467,285.1370134148246,292.19776807605126,300.6744519415875,31.629675384797235,349.4594038255443,318.10240476695407,0.2791666666666666
A.D. 2020-Mar-09 00:00:00.0000 UTC,329.568018850809,31.079677702620348,285.8878700647055,292.381319606627,300.7688767493035,31.671868692124203,349.4945412467678,318.4921177075656,0.2791666666666666
A.D. 2020-Mar-10 00:00:00.0000 UTC,329.5842442059977,32.098420498914365,286.6383510790808,292.5629844122778,300.86222115560446,31.714586913469418,349.52967587531515,318.8804667001341,0.2791666666666666
A.D. 2020-Mar-11 00:00:00.0000 UTC,329.70046792332005,33.11629817456318,287.38842567372075,292.7427384833523,300.9544705163352,31.75782119055762,349.56480060882564,319.26744324193436,0.2791666666666666
A.D. 2020-Mar-12 00:00:00.0000 UTC,329.9119155523187,34.13325954084919,288.13805909008875,292.92055641909536,301.0456096411158,31.80156284277281,349.5999083379257,319.6530374928423,0.2791666666666666
A.D. 2020-Mar-13 00:00:00.0000 UTC,330.2134574320151,35.14924524101716,288.88721216343816,293.09641124469624,301.1356226634913,31.84580324056981,349.6349918563262,320.03723771112016,0.2791666666666666
A.D. 2020-Mar-14 00:00:00.0000 UTC,330.59979701365984,36.16418465800255,289.63584171242263,293.2702744928908,301.22449305145653,31.89053366884737,349.6700437966992,320.4200300338308,0.2791666666666666
A.D. 2020-Mar-15 00:00:00.0000 UTC,331.06561754041536,37.17799312693493,290.38390151867753,293.4421164862553,301.3122037328487,31.935745214772556,349.7050566034332,320.80139859509814,0.2791666666666666
A.D. 2020-Mar-16 00:00:00.0000 UTC,331.6056928199788,38.19056987848987,291.13134352707624,293.6119067068349,301.39873727905257,31.98142869801896,349.7400225385988,321.18132586251494,0.2791666666666666
