time,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto,ceres,sun,moon,north_node,south_node
A.D. 2020-Oct-02 12:20:00.0000 UTC,247.888155,304.767143,80.4367534,174.8440664,165.2841072,66.59523112,107.0214245,169.0301168,131.7793533,269.4515152,87.0699104,81.792494,261.792494
A.D. 2020-Oct-03 12:20:00.0000 UTC,247.6154341,304.347066,81.08722621,175.9438373,166.4414027,67.14721207,107.589088,170.18905,132.4868718,269.1405998,78.16761779,81.6393486,261.6393486
A.D. 2020-Oct-04 12:20:00.0000 UTC,247.3880589,303.9211885,81.73767158,177.0424337,167.605167,67.69265284,108.1642447,171.3535493,133.2008629,268.8293745,69.06494003,81.5020036,261.5020036
A.D. 2020-Oct-05 12:20:00.0000 UTC,247.2097087,303.489565,82.38803153,178.1392746,168.7747469,68.23179499,108.7472398,172.5229203,133.921423,268.5178705,59.52210648,81.3964302,261.3964302
A.D. 2020-Oct-06 12:20:00.0000 UTC,247.084438,303.0522512,83.03824902,179.233785,169.9494654,68.76487601,109.3384294,173.6964483,134.6486449,268.2061214,49.28243439,81.3309083,261.3309083
A.D. 2020-Oct-07 12:20:00.0000 UTC,247.0166961,302.6093041,83.68826748,180.3253975,171.1286238,69.29212965,109.9381805,174.8734008,135.382617,267.8941642,38.07884553,81.3043707,261.3043707
A.D. 2020-Oct-08 12:20:00.0000 UTC,247.0113401,302.1607822,84.33803035,181.4135547,172.3115048,69.81378615,110.5468719,176.0530309,136.1234233,267.5820397,25.67021673,81.3071452,261.3071452
A.D. 2020-Oct-09 12:20:00.0000 UTC,247.0736357,301.7067459,84.98748033,182.4977111,173.4973745,70.33007241,111.1648944,177.2345799,136.8711424,267.2697924,11.92774003,81.323733,261.323733
A.D. 2020-Oct-10 12:20:00.0000 UTC,247.2092415,301.2472578,85.63655851,183.5773345,174.6854858,70.84121216,111.792651,178.4172804,137.6258478,266.9574708,356.9679471,81.3365716,261.3365716
A.D. 2020-Oct-11 12:20:00.0000 UTC,247.4241709,300.7823831,86.28520322,184.6519083,175.8750817,71.34742622,112.4305572,179.6003602,138.3876066,266.6451285,341.2513625,81.3297862,261.3297862
A.D. 2020-Oct-12 12:20:00.0000 UTC,247.7247195,300.3121897,86.93334826,185.7209333,177.0653982,71.84893242,113.0790411,180.7830452,139.1564796,266.332824,325.4994216,81.2921587,261.2921587
A.D. 2020-Oct-13 12:20:00.0000 UTC,248.1173496,299.8367487,87.58092085,186.7839288,178.2556683,72.34594544,113.7385436,181.9645633,139.9325201,266.0206216,310.4065693,81.2188803,261.2188803
