name_id,date,time,correct,displaced,bracketed,body_bracket,first_condition,degree,degree_type,energy,conditionbody
3,2019-09-30,07:50:00,0%,1%,YES,Venus,Venus,5,Seperating,Negative,Moon
4,2019-08-09,11:35:00,1%,0%,YES,Ceres,Jupiter,9,Applying,Positive,Moon
4,2019-08-30,10:10:00,1%,0%,YES,Mercury,Venus,8,Applying,Positive,Moon
4,2019-08-30,10:10:00,1%,0%,YES,Mercury,Mars,4,Applying,Positive,Moon
4,2019-09-06,09:40:00,1%,0%,YES,Ceres,Ceres,6,Seperating,Negative,Moon
1,2019-08-09,14:05:00,0.3%,0.7%,YES,Ceres,Ceres,4,Seperating,Negative,Moon
1,2019-08-09,14:05:00,0.3%,0.7%,YES,Ceres,Jupiter,8,Applying,Positive,Moon
1,2019-08-30,11:55:00,1%,0%,YES,Mercury,Venus,7,Applying,Positive,Moon
1,2019-09-06,09:40:00,1%,0%,YES,Mars,Ceres,6,Seperating,Negative,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Ceres,Venus,6,Seperating,Negative,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Ceres,Ceres,5,Seperating,Negative,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Ceres,Pluto,10,Applying,Positive,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Ceres,Saturn,6,Applying,Positive,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Ceres,Jupiter,10,Seperating,Negative,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Ceres,Venus,6,Seperating,Negative,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Ceres,Ceres,6,Seperating,Negative,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Ceres,Neptune,10,Applying,Positive,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Ceres,Saturn,6,Applying,Positive,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Venus,Venus,6,Seperating,Negative,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Venus,Ceres,5,Seperating,Negative,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Venus,Pluto,10,Applying,Positive,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Venus,Saturn,6,Applying,Positive,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Venus,Jupiter,10,Seperating,Negative,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Venus,Venus,6,Seperating,Negative,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Venus,Ceres,6,Seperating,Negative,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Venus,Neptune,10,Applying,Positive,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Venus,Saturn,6,Applying,Positive,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Jupiter,Venus,6,Seperating,Negative,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Jupiter,Ceres,5,Seperating,Negative,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Jupiter,Pluto,10,Applying,Positive,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Jupiter,Saturn,6,Applying,Positive,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Jupiter,Jupiter,10,Seperating,Negative,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Jupiter,Venus,6,Seperating,Negative,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Jupiter,Ceres,6,Seperating,Negative,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Jupiter,Neptune,10,Applying,Positive,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Jupiter,Saturn,6,Applying,Positive,Moon
2,2019-12-29,13:05:00,0.25%,0.75%,YES,Ceres,Pluto,4,Applying,Positive,Moon
1,2019-12-28,14:11:00,0.625%,0.375%,YES,Pluto,Pluto,9,Seperating,Negative,Moon
1,2019-12-28,14:11:00,0.625%,0.375%,YES,Pluto,Venus,8,Applying,Positive,Moon
1,2019-12-28,14:11:00,0.625%,0.375%,YES,Pluto,Pluto,9,Applying,Negative,Moon
1,2019-12-28,14:11:00,0.625%,0.375%,YES,Pluto,Venus,8,Applying,Positive,Moon
2,2020-01-25,12:45:00,1%,0%,YES,Sun,Ceres,10,Seperating,Negative,Moon
2,2020-01-25,12:45:00,1%,0%,YES,Sun,Sun,4,Seperating,Negative,Moon
2,2020-01-25,12:45:00,1%,0%,YES,Sun,Mercury,5,Applying,Positive,Moon
2,2020-01-29,15:33:00,1%,0%,YES,Venus,Venus,10,Seperating,Negative,Moon
3,2019-11-25,08:45:00,1%,0%,YES,Mars,Mars,8,Seperating,Positive,Moon
3,2019-11-29,14:40:00,0%,1%,YES,Ceres,Venus,6,Seperating,Negative,Moon
3,2019-11-29,14:40:00,0%,1%,YES,Ceres,Ceres,6,Seperating,Negative,Moon
3,2019-11-29,14:40:00,0%,1%,YES,Ceres,Pluto,10,Applying,Positive,Moon
3,2019-11-29,14:40:00,0%,1%,YES,Ceres,Saturn,6,Applying,Positive,Moon
3,2019-12-27,13:05:00,1%,0%,YES,Ceres,Pluto,4,Applying,Positive,Moon
3,2019-12-28,14:15:00,1%,0%,YES,Pluto,Pluto,9,Seperating,Negative,Moon
3,2019-12-28,14:15:00,1%,0%,YES,Pluto,Venus,8,Applying,Positive,Moon
3,2020-01-25,12:45:00,0%,1%,YES,Sun,Ceres,10,Seperating,Negative,Moon
3,2020-01-25,12:45:00,0%,1%,YES,Sun,Sun,4,Seperating,Negative,Moon
3,2020-01-25,12:45:00,0%,1%,YES,Sun,Mercury,5,Applying,Positive,Moon
3,2020-01-29,15:33:00,1%,0%,YES,Venus,Venus,10,Seperating,Negative,Moon
4,2019-11-25,09:05:00,0.5%,0.5%,YES,Mars,Mars,8,Seperating,Negative,Moon
4,2019-11-29,14:15:00,0%,1%,YES,Ceres,Venus,6,Seperating,Negative,Moon
4,2019-11-29,14:15:00,0%,1%,YES,Ceres,Ceres,5,Seperating,Negative,Moon
4,2019-11-29,14:15:00,0%,1%,YES,Ceres,Pluto,10,Applying,Positive,Moon
4,2019-11-29,14:15:00,0%,1%,YES,Ceres,Saturn,6,Applying,Positive,Moon
4,2019-12-27,12:45:00,1%,0%,YES,Ceres,Pluto,4,Applying,Positive,Moon
4,2019-12-28,13:55:00,1%,0%,YES,Pluto,Saturn,10,Seperating,Negative,Moon
4,2019-12-28,13:55:00,1%,0%,YES,Pluto,Pluto,9,Seperating,Negative,Moon
4,2019-12-28,13:55:00,1%,0%,YES,Pluto,Venus,8,Applying,Positive,Moon
4,2020-01-25,12:25:00,0.5%,0.5%,YES,Sun,Ceres,10,Seperating,Negative,Moon
4,2020-01-25,12:25:00,0.5%,0.5%,YES,Sun,Sun,4,Seperating,Negative,Moon
4,2020-01-25,12:25:00,0.5%,0.5%,YES,Sun,Mercury,5,Applying,Positive,Moon
4,2020-01-29,15:15:00,1%,0%,YES,Venus,Neptune,10,Seperating,Negative,Moon
4,2020-01-29,15:15:00,1%,0%,YES,Venus,Venus,9,Seperating,Negative,Moon
4,2020-01-29,15:15:00,1%,0%,YES,Neptune,Neptune,10,Seperating,Negative,Moon
4,2020-01-29,15:15:00,1%,0%,YES,Neptune,Venus,9,Seperating,Negative,Moon
1,2019-11-25,09:05:00,1%,0%,YES,Mars,Mars,8,Seperating,Negative,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Ceres,Venus,6,Seperating,Negative,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Ceres,Ceres,5,Seperating,Negative,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Ceres,Pluto,10,Applying,Positive,Moon
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Ceres,Saturn,6,Applying,Positive,Moon
